"","stations","station.p.vals"
"1",31200,0.027972027972028
"2",31201,0.287712287712288
"3",31623,0.304695304695305
"4",31214,0.174825174825175
"5",31104,0.176823176823177
"6",31101,0.177822177822178
"7",31203,0.0759240759240759
"8",31205,0.26973026973027
"9",31110,0.051948051948052
"10",31228,0.12987012987013
"11",31229,0.293706293706294
"12",31613,0.032967032967033
"13",31217,0.003996003996004
"14",31212,0.255744255744256
"15",31106,0.150849150849151
"16",31237,0.225774225774226
"17",31600,0.0729270729270729
"18",31225,0.440559440559441
"19",31219,0.004995004995005
"20",31221,0.026973026973027
"21",31602,0.761238761238761
"22",31111,0.141858141858142
"23",31619,0.0539460539460539
"24",31218,0.332667332667333
"25",31213,0.347652347652348
"26",31222,0.17982017982018
"27",31624,0.318681318681319
"28",31202,0.545454545454545
"29",31620,0.0909090909090909
"30",31105,0.565434565434565
"31",31103,0.010989010989011
"32",31232,0.0809190809190809
"33",31100,0.114885114885115
"34",31235,0.134865134865135
"35",31107,0.141858141858142
"36",31227,0.0749250749250749
"37",31223,0.432567432567433
"38",31215,0.726273726273726
"39",31238,0.288711288711289
"40",31224,0.41958041958042
"41",31204,0.137862137862138
"42",31230,0.0729270729270729
"43",31603,0.238761238761239
"44",31605,0.786213786213786
"45",31618,0.837162837162837
"46",31604,0.330669330669331
"47",31610,0.208791208791209
"48",31503,0.015984015984016
"49",31216,0.183816183816184
"50",31102,0.124875124875125
"51",31616,0.514485514485514
"52",31611,0.280719280719281
"53",31108,0.046953046953047
"54",31208,0.027972027972028
"55",31622,0.306693306693307
"56",31109,0.146853146853147
"57",31220,0.523476523476524
"58",31231,0.845154845154845
"59",31233,0.274725274725275
"60",31007,0.298701298701299
"61",31400,0.648351648351648
"62",31236,0.186813186813187
"63",31606,0.0679320679320679
"64",31607,0.144855144855145
"65",31401,0.111888111888112
"66",31206,0.241758241758242
"67",31305,0.021978021978022
"68",31302,0.447552447552448
"69",31609,0.175824175824176
"70",31303,0.138861138861139
"71",31014,0.114885114885115
"72",31608,0.492507492507492
"73",31300,0.841158841158841
"74",31009,0.551448551448551
"75",31207,0.555444555444555
"76",31226,0.000999000999000999
"77",31011,0.296703296703297
"78",31010,0.33966033966034
"79",31617,0.500499500499501
"80",31301,0.557442557442557
"81",31304,0.928071928071928
"82",31003,0.031968031968032
"83",31001,0.330669330669331
"84",31112,0.24975024975025
"85",31211,0.237762237762238
"86",31505,0.405594405594406
"87",31002,0.182817182817183
"88",31621,0.017982017982018
"89",31015,0.788211788211788
"90",31601,0.247752247752248
"91",31006,0.102897102897103
"92",31209,0.638361638361638
"93",31013,0.162837162837163
"94",31008,0.322677322677323
"95",31402,0.016983016983017
"96",31504,0.041958041958042
"97",31012,0.519480519480519
"98",31018,0.002997002997003
"99",31004,0.463536463536464
"100",31005,0.182817182817183
"101",31500,0.051948051948052
"102",31241,0.549450549450549
"103",31016,0.33966033966034
"104",31502,0.825174825174825
"105",31501,0.411588411588412
"106",31000,0.440559440559441
"107",31113,0.180819180819181
"108",31239,0.745254745254745
"109",31242,0.686313686313686
"110",31801,0.574425574425574
"111",31802,0.286713286713287
"112",31245,0.83016983016983
"113",31244,0.177822177822178
"114",31805,0.242757242757243
"115",31804,0.665334665334665
"116",31625,0.92007992007992
"117",31116,0.54045954045954
"118",31506,0.358641358641359
"119",31614,0.435564435564436
"120",31262,0.828171828171828
"121",31017,0.177822177822178
"122",31615,0.555444555444555
"123",31703,0.031968031968032
"124",31246,0.631368631368631
"125",31019,1
"126",31700,0.802197802197802
"127",31115,0.684315684315684
"128",31404,1
"129",31022,0.440559440559441
"130",31705,0.961038961038961
"131",31266,0.899100899100899
"132",31020,1
"133",31702,0.0619380619380619
"134",31261,1
"135",31307,1
"136",31626,1
"137",31706,0.117882117882118
"138",31701,0.044955044955045
"139",31052,0.923076923076923
"140",31021,0.132867132867133
"141",31806,1
"142",31707,0.672327672327672
