"","stations","station.p.vals"
"1",31200,0.223776223776224
"2",31201,0.854145854145854
"3",31623,0.001998001998002
"4",31214,0.973026973026973
"5",31104,0.764235764235764
"6",31101,0.380619380619381
"7",31203,0.468531468531469
"8",31205,0.0629370629370629
"9",31110,0.597402597402597
"10",31228,0.903096903096903
"11",31229,0.936063936063936
"12",31613,0.824175824175824
"13",31217,0.982017982017982
"14",31212,0.16983016983017
"15",31106,0.42957042957043
"16",31237,0.963036963036963
"17",31600,0.861138861138861
"18",31225,0.974025974025974
"19",31219,0.673326673326673
"20",31221,0.002997002997003
"21",31602,0.985014985014985
"22",31111,0.632367632367632
"23",31619,0.907092907092907
"24",31218,0.0619380619380619
"25",31213,0.001998001998002
"26",31222,0.95004995004995
"27",31624,0.00999000999000999
"28",31202,0.837162837162837
"29",31620,0.497502497502497
"30",31105,0.893106893106893
"31",31103,0.992007992007992
"32",31232,0.8001998001998
"33",31100,0.000999000999000999
"34",31235,1
"35",31107,0.983016983016983
"36",31227,0.000999000999000999
"37",31223,0.493506493506494
"38",31215,1
"39",31238,0.017982017982018
"40",31224,0.000999000999000999
"41",31204,0.030969030969031
"42",31230,0.514485514485514
"43",31603,0.304695304695305
"44",31605,0.204795204795205
"45",31618,0.96003996003996
"46",31604,0.358641358641359
"47",31610,0.981018981018981
"48",31503,0.621378621378621
"49",31216,0.001998001998002
"50",31102,0.586413586413586
"51",31616,0.999000999000999
"52",31611,0.989010989010989
"53",31108,0.615384615384615
"54",31208,0.749250749250749
"55",31622,0.420579420579421
"56",31109,0.726273726273726
"57",31220,0.001998001998002
"58",31231,0.0599400599400599
"59",31233,0.141858141858142
"60",31007,0.000999000999000999
"61",31400,0.261738261738262
"62",31236,0.512487512487512
"63",31606,0.998001998001998
"64",31607,0.995004995004995
"65",31401,0.578421578421578
"66",31206,0.002997002997003
"67",31305,0.935064935064935
"68",31302,0.024975024975025
"69",31609,0.901098901098901
"70",31303,0.927072927072927
"71",31014,0.944055944055944
"72",31608,0.365634365634366
"73",31300,0.232767232767233
"74",31009,0.000999000999000999
"75",31207,0.371628371628372
"76",31226,0.416583416583417
"77",31011,0.020979020979021
"78",31010,0.423576423576424
"79",31617,0.886113886113886
"80",31301,0.045954045954046
"81",31304,0.115884115884116
"82",31003,0.858141858141858
"83",31001,0.691308691308691
"84",31112,0.996003996003996
"85",31211,0.82017982017982
"86",31505,0.0999000999000999
"87",31002,0.967032967032967
"88",31621,0.126873126873127
"89",31015,0.595404595404595
"90",31601,0.24975024975025
"91",31006,0.82017982017982
"92",31209,0.192807192807193
"93",31013,0.953046953046953
"94",31008,0.964035964035964
"95",31402,0.582417582417582
"96",31504,0.598401598401598
"97",31012,0.000999000999000999
"98",31018,0.673326673326673
"99",31004,0.495504495504495
"100",31005,0.933066933066933
"101",31500,0.843156843156843
"102",31241,0.593406593406593
"103",31016,0.416583416583417
"104",31502,0.926073926073926
"105",31501,0.436563436563437
"106",31000,0.267732267732268
"107",31113,0.895104895104895
"108",31239,0.434565434565435
"109",31242,0.448551448551449
"110",31801,0.00999000999000999
"111",31802,0.00599400599400599
"112",31245,0.697302697302697
"113",31244,0.42957042957043
"114",31805,0.926073926073926
"115",31804,0.002997002997003
"116",31625,0.527472527472527
"117",31116,0.42957042957043
"118",31506,0.962037962037962
"119",31614,0.568431568431568
"120",31262,0.000999000999000999
"121",31017,0.786213786213786
"122",31615,0.687312687312687
"123",31703,0.884115884115884
"124",31246,0.394605394605395
"125",31019,0.451548451548452
"126",31700,0.674325674325674
"127",31115,1
"128",31404,1
"129",31022,0.293706293706294
"130",31705,0.741258741258741
"131",31266,0.184815184815185
"132",31020,1
"133",31702,0.793206793206793
"134",31261,1
"135",31307,1
"136",31626,1
"137",31706,0.62037962037962
"138",31701,0.745254745254745
"139",31052,0.498501498501498
"140",31021,0.994005994005994
"141",31806,1
"142",31707,0.816183816183816
