"","Station","Station.num","Latitude","Longitude"
"73","11th & Kenyon St NW",31102,38.929464,-77.027822
"74","5th & F St NW",31620,38.897222,-77.019347
"75","New York Ave & 15th St NW",31222,38.899032,-77.033354
"76","13th & H St NE",31611,38.900022,-76.988422
"77","Convention Center / 7th & M St NW",31223,38.905737,-77.02227
"78","US Dept of State / Virginia Ave & 21st St NW",31220,38.894919,-77.046587
"79","Connecticut Ave & Newark St NW / Cleveland Park",31305,38.934267,-77.057979
"80","Good Hope & Naylor Rd SE",31700,38.860227,-76.966572
"81","Maine Ave & 7th St SW",31609,38.878694,-77.023054
"82","Harvard St & Adams Mill Rd NW",31112,38.927872,-77.043358
"83","3rd & H St NE",31616,38.900412,-77.001949
"84","Eckington Pl & Q St NE",31505,38.910972,-77.00495
"85","New Hampshire Ave & T St NW",31229,38.91554,-77.03818
"86","34th St & Wisconsin Ave NW",31226,38.916442,-77.0682
"87","Tenleytown / Wisconsin Ave & Albemarle St NW",31303,38.947607,-77.079382
"88","10th & Monroe St NE",31504,38.932514,-76.992889
"89","19th St & Constitution Ave NW",31235,38.8923,-77.0436
"90","Pennsylvania & Minnesota Ave SE",31805,38.873057,-76.971015
"91","13th St & New York Ave NW",31227,38.900283,-77.029822
"92","19th & L St NW",31224,38.903407,-77.043648
"93","C & O Canal & Wisconsin Ave NW",31225,38.90375,-77.06269
"94","Anacostia Library",31804,38.865784,-76.9784
"95","37th & O St NW / Georgetown University",31236,38.90774,-77.071652
"96","Lincoln Park / 13th & East Capitol St NE ",31619,38.890461,-76.988355
"97","Columbus Circle / Union Station",31623,38.89696,-77.00493
"98","North Capitol St & F St NW",31624,38.897446,-77.009888
"99","13th & D St NE",31622,38.894832,-76.987633
"100","11th & M St NW",31266,38.905607,-77.027137
"101","Bladensburg Rd & Benning Rd NE",31617,38.900413,-76.982872
"102","25th St & Pennsylvania Ave NW",31237,38.903827,-77.053485
"103","4th & East Capitol St NE",31618,38.889955,-77.000349
"104","Benning Branch Library",31705,38.894,-76.947974
"105","36th & Calvert St NW / Glover Park",31304,38.922581,-77.070334
"106","14th & G St NW",31238,38.898409,-77.032278
"107","Potomac Ave & 35th St S",31052,38.844015,-77.050537
"108","11th & F St NW",31262,38.897857,-77.026975
"109","Lynn & 19th St North",31014,38.897315,-77.070993
"110","Clarendon Blvd & Pierce St",31016,38.893438,-77.076389
"111","N Rhodes & 16th St N",31018,38.892164,-77.079375
"112","Rosslyn Metro / Wilson Blvd & Ft Myer Dr",31015,38.8946,-77.072305
"113","14th & D St NW / Ronald Reagan Building",31231,38.894514,-77.031617
"114","17th & K St NW / Farragut Square",31233,38.902061,-77.038322
"115","7th & F St NW / National Portrait Gallery",31232,38.897312,-77.022325
"116","Metro Center / 12th & G St NW",31230,38.898364,-77.027869
"117","4th & D St NW / Judiciary Square",31621,38.895344,-77.016106
"118","Branch & Pennsylvania Ave SE",31701,38.8692,-76.9599
"119","Fairfax Village",31706,38.86559,-76.952103
"120","21st St & Constitution Ave NW",31261,38.892459,-77.046567
"121","Wilson Blvd & N Uhle St",31017,38.891696,-77.0846
"122","Wilson Blvd & N Edgewood St",31019,38.889,-77.0925
"123","Columbia Rd & Belmont St NW",31113,38.920669,-77.04368
"124","Rhode Island & Connecticut Ave NW",31239,38.905996,-77.039802
"125","Thomas Circle",31241,38.9059,-77.0325
"126","Clarendon Metro / Wilson Blvd & N Highland St",31022,38.88786,-77.094875
"127","Clarendon Blvd & N Fillmore St",31021,38.8881,-77.09308
"128","18th St & Pennsylvania Ave NW",31242,38.89968,-77.041539
"129","7th & R St NW / Shaw Library",31245,38.912719,-77.022155
"130","3rd & G St SE",31625,38.881185,-77.001828
"131","Wilson Blvd & Franklin Rd",31020,38.8904,-77.0889
"132","4th & E St SW",31244,38.88412,-77.017445
"133","1st & Rhode Island Ave NW",31506,38.915417,-77.012289
"134","9th & Upshur St NW",31404,38.9418,-77.0251
"135","Columbia Rd & Georgia Ave NW",31115,38.928121,-77.023795
"136","6th & H St NE",31615,38.899972,-76.998347
"137","11th & H St NE",31614,38.899983,-76.991383
"138","California St & Florida Ave NW",31116,38.917761,-77.04062
"139","M St & Pennsylvania Ave NW",31246,38.905126,-77.056887
"140","3000 Connecticut Ave NW / National Zoo",31307,38.930282,-77.055599
"141","Benning Rd & East Capitol St NE / Benning Rd Metro",31707,38.889935,-76.93723
"142","Anacostia Ave & Benning Rd NE / River Terrace ",31708,38.896544,-76.96012
"143","15th St & Massachusetts Ave SE",31626,38.88732,-76.983569
"144","Congress Heights Metro",31806,38.844711,-76.987823
